ID,FechaPrestamo,EdadPrestamo,MontoPrestado,Cuotas
3036,2006-08-09 00:00:00,37,422,8
3052,2006-08-09 00:00:00,53,379,8
2725,2006-08-18 00:00:00,20,238,8
2729,2006-08-18 00:00:00,26,556,8
2726,2006-08-18 00:00:00,38,193,8
750,2006-08-18 00:00:00,38,796,8
2728,2006-08-18 00:00:00,39,199,8
759,2006-08-18 00:00:00,39,1106,8
2723,2006-08-18 00:00:00,43,292,8
3827,2006-08-21 00:00:00,18,221,8
3837,2006-08-21 00:00:00,22,490,8
886,2006-08-21 00:00:00,24,767,8
863,2006-08-21 00:00:00,24,835,8
881,2006-08-21 00:00:00,28,935,8
3828,2006-08-21 00:00:00,34,433,8
1928,2006-08-21 00:00:00,38,488,8
871,2006-08-21 00:00:00,38,983,8
3829,2006-08-21 00:00:00,39,214,8
3825,2006-08-21 00:00:00,46,193,8
2922,2006-08-23 00:00:00,37,366,8
2931,2006-08-23 00:00:00,37,392,8
2193,2006-08-28 00:00:00,33,729,8
3662,2006-08-29 00:00:00,21,570,8
3665,2006-08-29 00:00:00,36,552,8
3669,2006-08-29 00:00:00,50,246,8
3654,2006-08-29 00:00:00,51,356,8
2066,2006-08-31 00:00:00,34,369,8
2082,2006-08-31 00:00:00,37,325,8
2394,2006-08-31 00:00:00,40,309,8
2077,2006-08-31 00:00:00,50,262,8
3163,2006-09-09 00:00:00,28,209,8
3170,2006-09-09 00:00:00,35,492,8
990,2006-09-11 00:00:00,36,1137,8
983,2006-09-11 00:00:00,43,363,8
970,2006-09-11 00:00:00,45,525,8
979,2006-09-11 00:00:00,50,302,8
1850,2006-09-14 00:00:00,25,408,8
1731,2006-09-14 00:00:00,30,834,8
1824,2006-09-14 00:00:00,35,192,8
1745,2006-09-14 00:00:00,37,371,8
1746,2006-09-14 00:00:00,56,542,8
1736,2006-09-14 00:00:00,58,771,8
1728,2006-09-14 00:00:00,59,800,8
2996,2006-09-18 00:00:00,23,339,8
3009,2006-09-18 00:00:00,25,275,8
2989,2006-09-18 00:00:00,29,383,8
3004,2006-09-18 00:00:00,32,180,8
3008,2006-09-18 00:00:00,33,237,8
2992,2006-09-18 00:00:00,34,425,8
3007,2006-09-18 00:00:00,37,393,8
2995,2006-09-18 00:00:00,38,383,8
2993,2006-09-18 00:00:00,39,311,8
2977,2006-09-18 00:00:00,40,218,8
3001,2006-09-18 00:00:00,40,269,8
3005,2006-09-18 00:00:00,41,279,8
2987,2006-09-18 00:00:00,44,401,8
3000,2006-09-18 00:00:00,47,299,8
2988,2006-09-18 00:00:00,49,411,8
3006,2006-09-18 00:00:00,50,530,8
3003,2006-09-18 00:00:00,51,323,8
2981,2006-09-18 00:00:00,68,435,8
3426,2006-09-19 00:00:00,22,455,8
3432,2006-09-19 00:00:00,26,244,8
3417,2006-09-19 00:00:00,37,296,8
3409,2006-09-19 00:00:00,38,333,8
246,2006-09-26 00:00:00,37,940,8
226,2006-09-26 00:00:00,37,1075,8
3562,2006-09-29 00:00:00,21,614,8
1399,2006-09-29 00:00:00,25,442,8
3495,2006-09-29 00:00:00,27,369,8
3507,2006-09-29 00:00:00,28,166,8
1424,2006-09-29 00:00:00,30,389,8
3480,2006-09-29 00:00:00,31,263,8
1419,2006-09-29 00:00:00,31,432,8
3513,2006-09-29 00:00:00,33,571,8
3514,2006-09-29 00:00:00,37,189,8
1396,2006-09-29 00:00:00,42,271,8
3492,2006-09-29 00:00:00,44,305,8
3497,2006-09-29 00:00:00,45,427,8
3489,2006-09-29 00:00:00,45,482,8
3570,2006-09-29 00:00:00,45,513,8
3516,2006-09-29 00:00:00,46,554,8
3500,2006-09-29 00:00:00,49,190,8
3565,2006-09-29 00:00:00,52,247,8
3498,2006-09-29 00:00:00,52,442,8
3501,2006-09-29 00:00:00,70,544,8
154,2006-10-02 00:00:00,28,844,8
357,2006-10-06 00:00:00,30,672,8
2266,2006-10-10 00:00:00,36,295,8
3277,2006-10-10 00:00:00,37,508,8
2272,2006-10-10 00:00:00,46,194,8
2274,2006-10-10 00:00:00,50,272,8
2268,2006-10-10 00:00:00,57,347,8
2276,2006-10-10 00:00:00,64,160,8
3133,2006-10-12 00:00:00,32,478,8
3114,2006-10-12 00:00:00,36,507,8
3128,2006-10-12 00:00:00,52,301,8
2598,2006-10-16 00:00:00,23,292,8
2609,2006-10-16 00:00:00,26,252,8
3945,2006-10-16 00:00:00,26,275,8
2606,2006-10-16 00:00:00,28,468,8
2595,2006-10-16 00:00:00,30,223,8
2613,2006-10-16 00:00:00,30,410,8
2597,2006-10-16 00:00:00,34,155,8
2589,2006-10-16 00:00:00,34,368,8
2612,2006-10-16 00:00:00,37,187,8
2600,2006-10-16 00:00:00,37,281,8
2591,2006-10-16 00:00:00,39,178,8
2611,2006-10-16 00:00:00,40,452,8
2588,2006-10-16 00:00:00,42,356,8
2608,2006-10-16 00:00:00,44,241,8
2604,2006-10-16 00:00:00,45,236,8
2610,2006-10-16 00:00:00,47,305,8
2605,2006-10-16 00:00:00,50,227,8
2614,2006-10-16 00:00:00,51,492,8
2601,2006-10-16 00:00:00,56,297,8
2592,2006-10-16 00:00:00,57,405,8
1993,2006-10-19 00:00:00,35,195,8
1987,2006-10-19 00:00:00,42,258,8
1971,2006-10-19 00:00:00,59,317,8
2526,2006-10-20 00:00:00,37,450,8
2857,2006-10-30 00:00:00,26,260,8
2870,2006-10-30 00:00:00,39,336,8
2880,2006-10-30 00:00:00,47,376,8
2859,2006-10-30 00:00:00,55,349,8
1669,2006-10-31 00:00:00,51,429,8
94,2006-11-03 00:00:00,22,905,8
93,2006-11-03 00:00:00,24,1012,8
3767,2006-11-07 00:00:00,42,287,8
1315,2006-11-14 00:00:00,49,279,8
815,2006-11-15 00:00:00,38,308,8
555,2006-11-15 00:00:00,38,379,8
3367,2006-11-17 00:00:00,20,442,8
3371,2006-11-17 00:00:00,27,358,8
1207,2006-11-17 00:00:00,30,900,8
3359,2006-11-17 00:00:00,32,446,8
3353,2006-11-17 00:00:00,35,336,8
3350,2006-11-17 00:00:00,35,369,8
3354,2006-11-17 00:00:00,36,179,8
3356,2006-11-17 00:00:00,41,437,8
3368,2006-11-17 00:00:00,43,526,8
3374,2006-11-17 00:00:00,45,374,8
3363,2006-11-17 00:00:00,49,551,8
2622,2006-11-18 00:00:00,47,181,8
1545,2006-11-22 00:00:00,33,305,8
640,2006-11-23 00:00:00,35,281,8
661,2006-11-23 00:00:00,37,190,8
653,2006-11-23 00:00:00,47,220,8
662,2006-11-23 00:00:00,52,536,8
1640,2006-11-28 00:00:00,38,408,8
1625,2006-11-28 00:00:00,52,238,8
1635,2006-11-28 00:00:00,66,572,8
951,2006-12-15 00:00:00,21,856,8
952,2006-12-15 00:00:00,23,542,8
958,2006-12-15 00:00:00,25,784,8
953,2006-12-15 00:00:00,34,608,8
956,2006-12-15 00:00:00,35,638,8
949,2006-12-15 00:00:00,37,576,8
954,2006-12-15 00:00:00,40,551,8
947,2006-12-15 00:00:00,43,715,8
950,2006-12-15 00:00:00,45,652,8
957,2006-12-15 00:00:00,50,801,8
939,2006-12-15 00:00:00,65,690,8
937,2006-12-15 00:00:00,66,739,8
787,2006-12-19 00:00:00,20,389,8
775,2006-12-19 00:00:00,25,299,8
752,2006-12-19 00:00:00,34,1102,8
786,2006-12-19 00:00:00,40,224,8
753,2006-12-19 00:00:00,43,735,8
773,2006-12-19 00:00:00,50,501,8
751,2006-12-19 00:00:00,50,1021,8
2733,2006-12-20 00:00:00,24,452,8
2722,2006-12-20 00:00:00,29,438,8
882,2006-12-21 00:00:00,28,653,8
892,2006-12-21 00:00:00,51,252,8
2178,2006-12-22 00:00:00,43,698,8
2191,2006-12-22 00:00:00,48,797,8
2381,2006-12-22 00:00:00,54,496,8
2190,2006-12-22 00:00:00,54,759,8
2921,2006-12-29 00:00:00,42,503,8
1929,2007-01-12 00:00:00,25,412,8
1935,2007-01-12 00:00:00,31,458,8
1936,2007-01-12 00:00:00,50,503,8
3913,2007-01-15 00:00:00,50,293,8
1831,2007-01-22 00:00:00,30,325,8
1869,2007-01-22 00:00:00,34,390,8
